job_title,job_category,job_type,career_level,posted_date,industries,qualifications,summary,job_description,years_experience,education,hard_skills,soft_skills,skill_count,all_skills,job_url,company_name,company_url,location
collection officer officer,Other,Full-time,Entry level,4 weeks ago,Financial Services,"have the ability to relate to people from a variety of different backgrounds. be persuasive, persistent and self motivated. show assertiveness, tact and flexibility. location : mall of arabia , 6 october",," have the ability to relate to people from a variety of different backgrounds. be persuasive, persistent and self motivated. show assertiveness, tact and flexibility. location : mall of arabia , 6 october",0,not specified,[],"['self motivation', 'flexibility']",2,"['self motivation', 'flexibility']",https://www.linkedin.com/jobs/view/collection-officer-officer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4315232222?skipRedirect=true&locale=en_US,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_topcard-org-name,"Giza, Al Jizah, Egypt"
admin assistant,Administrative,Full-time,Entry level,2 weeks ago,Hospitality,"makes new files, maintains existing files. maintains giveaway/donation files and assists in making reservations. provides administrative support to manager/s and department. supporting correspondence composes, produces and signs correspondence on routine matters. produces and distributes correspondence as required. answers department phones. acts as a receptionist for manager and, when necessary, other department members, providing assistance to callers as required. sorts and distributes mail. providing exceptional customer service providing services that are above and beyond for customer satisfaction and retention. ensures the quality, standards and meets the expectations of the customers on a daily basis. attends meetings and communicates with executive and peers as an effort to improve quality of service.","25126080 job category administrative location hotel cairo, ring road mirage city p.o.box 427, cairo, egypt, egypt, 11757view on map schedule full time located remotely? n position type management job summary","25126080 job category administrative location hotel cairo, ring road mirage city p.o.box 427, cairo, egypt, egypt, 11757view on map schedule full time located remotely? n position type management job summary makes new files, maintains existing files. maintains giveaway/donation files and assists in making reservations. provides administrative support to manager/s and department. supporting correspondence composes, produces and signs correspondence on routine matters. produces and distributes correspondence as required. answers department phones. acts as a receptionist for manager and, when necessary, other department members, providing assistance to callers as required. sorts and distributes mail. providing exceptional customer service providing services that are above and beyond for customer satisfaction and retention. ensures the quality, standards and meets the expectations of the customers on a daily basis. attends meetings and communicates with executive and peers as an effort to improve quality of service.",0,not specified,"['excel', 'it support', 'data management']","['time management', 'support', 'customer service']",6,"['excel', 'it support', 'data management', 'time management', 'support', 'customer service']",https://www.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4279712285?skipRedirect=true&locale=en_US,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
call center representative,Customer Service,Full-time,Associate,1 week ago,"Banking, Telecommunications, and Telephone Call Centers","accurately record customer information and interactions in our system. identify opportunities to improve customer experience and streamline processes. adhere to established procedures and comply with information security and data privacy policies. what you'll need job location: new cairo, egypt bachelor's degree in any field ability to work on rotational shifts and weekends. available to join immediately. a proactive and customer centric approach. bonus points previous experience in a customer service role, preferably within the banking industry. benefits competitive salary incentives based on the kpis achieved health insurance social insurance career development opportunities","we seek a friendly and customer focused individual to join our inbound contact center team in cairo, egypt. in this role, you will be our valued customers' first point of contact, answering their questions, addressing their concerns, and ensuring they have a positive experience with our bank.","we seek a friendly and customer focused individual to join our inbound contact center team in cairo, egypt. in this role, you will be our valued customers' first point of contact, answering their questions, addressing their concerns, and ensuring they have a positive experience with our bank. accurately record customer information and interactions in our system. identify opportunities to improve customer experience and streamline processes. adhere to established procedures and comply with information security and data privacy policies. what you'll need job location: new cairo, egypt bachelor's degree in any field ability to work on rotational shifts and weekends. available to join immediately. a proactive and customer centric approach. bonus points previous experience in a customer service role, preferably within the banking industry. benefits competitive salary incentives based on the kpis achieved health insurance social insurance career development opportunities",0,bachelor,"['erp system', 'pos system']","['customer service', 'customer interaction']",4,"['erp system', 'pos system', 'customer service', 'customer interaction']",https://www.linkedin.com/jobs/view/call-center-representative-at-emirates-nbd-4337917218?skipRedirect=true&locale=en_US,Emirates NBD,https://ae.linkedin.com/company/emirates-nbd?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
office administrator,Administrative,Full-time,Associate,4 weeks ago,"Industrial Machinery Manufacturing, Oil and Gas, and Engineering Services","3. facility coordination oversee office facilities, maintenance, and vendor management. coordinate repairs, office supplies, and service contracts e.g., cleaning, security, utilities . ensure the office environment is safe, functional, and compliant with company and local standards. manage asset inventory and office related procurement. 4. general administration support assist with coordination of internal and external meetings, travel, and logistics. maintain filing systems and ensure proper documentation control. support management in daily administrative activities and reporting. bachelor s degree in business administration, human resources, or related field. minimum 2 4 years of experience in administration, hr operations, or government relations. good understanding of egypt s labor and social insurance regulations. proficient in ms office word, excel, outlook . fluent in arabic and good command of english.","job purpose: the office administrator will be responsible for handling day to day administrative operations in the egypt office, including social insurance administration, government relations activities, and facility coordination. the role ensures compliance with local labor regulations and supports smooth office operations.","job purpose: the office administrator will be responsible for handling day to day administrative operations in the egypt office, including social insurance administration, government relations activities, and facility coordination. the role ensures compliance with local labor regulations and supports smooth office operations. 3. facility coordination oversee office facilities, maintenance, and vendor management. coordinate repairs, office supplies, and service contracts e.g., cleaning, security, utilities . ensure the office environment is safe, functional, and compliant with company and local standards. manage asset inventory and office related procurement. 4. general administration support assist with coordination of internal and external meetings, travel, and logistics. maintain filing systems and ensure proper documentation control. support management in daily administrative activities and reporting. bachelor s degree in business administration, human resources, or related field. minimum 2 4 years of experience in administration, hr operations, or government relations. good understanding of egypt s labor and social insurance regulations. proficient in ms office word, excel, outlook . fluent in arabic and good command of english.",4,bachelor,"['english', 'excel', 'data management', 'it support', 'filing', 'word', 'outlook', 'reporting', 'm office', 'instrumentation control']","['time management', 'learning', 'support']",13,"['english', 'excel', 'data management', 'it support', 'filing', 'word', 'outlook', 'reporting', 'm office', 'instrumentation control', 'time management', 'learning', 'support']",https://www.linkedin.com/jobs/view/office-administrator-at-bilfinger-middle-east-4315220662?skipRedirect=true&locale=en_US,Bilfinger Middle East,https://ae.linkedin.com/company/bilfinger-middle-east?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
executive assistant  hr  finance,Administrative,Full-time,Mid-Senior level,2 weeks ago,Food and Beverage Services,"strong organizational and time management abilities. proficiency in microsoft 365 word, excel, powerpoint, outlook, sharepoint . experience using software related to expense reporting, purchase orders, and/or employee onboarding. experience in benefits or hr admin is a plus addjob","at abc, we brew the joy of true togetherness to inspire a better world. a big part of that means brewing better people with the heart of our company in our four values passion for consumers and customers care for people and planet enjoyment of life courage to dream and pioneer job purpose","at abc, we brew the joy of true togetherness to inspire a better world. a big part of that means brewing better people with the heart of our company in our four values passion for consumers and customers care for people and planet enjoyment of life courage to dream and pioneer job purpose strong organizational and time management abilities. proficiency in microsoft 365 word, excel, powerpoint, outlook, sharepoint . experience using software related to expense reporting, purchase orders, and/or employee onboarding. experience in benefits or hr admin is a plus addjob",0,not specified,"['excel', 'powerpoint', 'data management', 'word', 'outlook', 'reporting']","['time management', 'organization']",8,"['excel', 'powerpoint', 'data management', 'word', 'outlook', 'reporting', 'time management', 'organization']",https://www.linkedin.com/jobs/view/executive-assistant-hr-finance-at-the-heineken-company-4301289893?skipRedirect=true&locale=en_US,The HEINEKEN Company,https://nl.linkedin.com/company/heineken?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
collector staff  outsourced,Other,Full-time,Entry level,1 week ago,Banking,university/college degree 1 2 years of relevant experience in retail collections in banks overall credit knowledge understanding of retail products collection techniques. excellent presentation and communication abilities excellent command of english language.,"to minimize delinquency and control flow through into higher buckets by collecting overdue amounts from customers who failed to meet due dates. key accountabilities educates customers on the benefits of making timely payments to achieve monthly pi and flow rate targets works towards reducing delinquency rate and maintain productivity/ effectiveness for optimal performance for assigned accounts raises customer issues to the supervisor/collection head and identify high risk and skip accounts for referral to supervisor. reviews and monitors assigned accounts customer, communicate with the researches about the suitable action that should be taken against the delinquent accounts recommend rescheduling and small balance write off. arranges the collections calls for the default and delinquent customers to identify the reasons behind not making their payment and work towards solving any issues.","to minimize delinquency and control flow through into higher buckets by collecting overdue amounts from customers who failed to meet due dates. key accountabilities educates customers on the benefits of making timely payments to achieve monthly pi and flow rate targets works towards reducing delinquency rate and maintain productivity/ effectiveness for optimal performance for assigned accounts raises customer issues to the supervisor/collection head and identify high risk and skip accounts for referral to supervisor. reviews and monitors assigned accounts customer, communicate with the researches about the suitable action that should be taken against the delinquent accounts recommend rescheduling and small balance write off. arranges the collections calls for the default and delinquent customers to identify the reasons behind not making their payment and work towards solving any issues. university/college degree 1 2 years of relevant experience in retail collections in banks overall credit knowledge understanding of retail products collection techniques. excellent presentation and communication abilities excellent command of english language.",2,not specified,"['english', 'excel', 'accounting']","['communication', 'proactivity']",5,"['english', 'excel', 'accounting', 'communication', 'proactivity']",https://www.linkedin.com/jobs/view/collector-staff-outsourced-at-abu-dhabi-islamic-bank-egypt-4337406536?skipRedirect=true&locale=en_US,Abu Dhabi Islamic Bank - Egypt,https://eg.linkedin.com/company/abu-dhabi-islamic-bank---egypt?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
customer service representative  giza branches,Customer Service,Full-time,Entry level,2 weeks ago,Banking,residents of the south giza area. experience: 0 3 years in banking services at branches network university degree graduation year: from 2023 2025 minimum graduation grade: good english language proficiency never been tested by banque misr no relatives till 3rd degree,, residents of the south giza area. experience: 0 3 years in banking services at branches network university degree graduation year: from 2023 2025 minimum graduation grade: good english language proficiency never been tested by banque misr no relatives till 3rd degree,3,not specified,['english'],[],1,['english'],https://www.linkedin.com/jobs/view/customer-service-representative-giza-branches-at-banque-misr-4317217668?skipRedirect=true&locale=en_US,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_topcard-org-name,"Giza, Al Jizah, Egypt"
admin assistant,Administrative,Full-time,Entry level,2 weeks ago,Hospitality,,"25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position overview uses keyboard, mouse, or trackball to enter and retrieve information contained in computer databases to update records, files, and reservation records, and to respond to guest inquiries. use a computer, mail, or fax machine to transmit information or documents. operate standard office equipment other than computers. write letters, memos, and other documents using word processing, spreadsheet, database, or presentation software. process incoming mail, including date stamped distribution receipts. create and maintain computer and paper based filing and organizational systems for records, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. use computers and/or point of sale systems to enter and locate work related information. comply with all company policies and procedures; ensure uniforms and personal appearance are neat and professional; maintain the confidentiality of proprietary information and protect company assets. welcomes and acknowledges all guests in accordance with company standards; anticipates and meets guests' service needs; provides assistance to individuals with disabilities and acknowledges guests' sincere appreciation. use clear, professional language when speaking to others; compose and review written documents accurately and completely, and answer the phone using appropriate etiquette. establish and maintain positive working relationships with others; support the team in achieving common goals; listen and respond appropriately to other employees' concerns. move, lift, carry, push, pull and place objects weighing 10 pounds 4.54 kg or less without assistance. perform other reasonable job duties as requested by supervisor. marriott international is committed to being an employer, welcoming all job seekers and providing them with equal employment opportunities. we work tirelessly to create a work environment that values and celebrates our employees' unique backgrounds. the combined culture, talents and experience of our people are our greatest strength. we are committed to not discriminating on the basis of any protected characteristic, including disability, veteran status, or other characteristics protected by applicable law. le m ridien is inspired by the fascinating era of travel and presents every culture with european culture's classic pursuit of enjoying a wonderful life. our guests are curious, creative and cosmopolitan culture lovers. they look forward to every opportunity to connect and enjoy slowing down to savor the local flavor. le m ridien is willing to provide guests with unforgettable special services and experiences to inspire them to enjoy a wonderful life. we welcome curious, creative and hospitality talents to join our team. if you enjoy interacting with like minded guests and are eager to create unexpected experiences for them, we sincerely invite you to join hands with le m ridien to build your future career. when you join le m ridien, you join international's extraordinary portfolio of brands. set sail from here, give full play to personal value, pursue life goals, blend in excellent international team, show my true self.","25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position overview uses keyboard, mouse, or trackball to enter and retrieve information contained in computer databases to update records, files, and reservation records, and to respond to guest inquiries. use a computer, mail, or fax machine to transmit information or documents. operate standard office equipment other than computers. write letters, memos, and other documents using word processing, spreadsheet, database, or presentation software. process incoming mail, including date stamped distribution receipts. create and maintain computer and paper based filing and organizational systems for records, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. use computers and/or point of sale systems to enter and locate work related information. comply with all company policies and procedures; ensure uniforms and personal appearance are neat and professional; maintain the confidentiality of proprietary information and protect company assets. welcomes and acknowledges all guests in accordance with company standards; anticipates and meets guests' service needs; provides assistance to individuals with disabilities and acknowledges guests' sincere appreciation. use clear, professional language when speaking to others; compose and review written documents accurately and completely, and answer the phone using appropriate etiquette. establish and maintain positive working relationships with others; support the team in achieving common goals; listen and respond appropriately to other employees' concerns. move, lift, carry, push, pull and place objects weighing 10 pounds 4.54 kg or less without assistance. perform other reasonable job duties as requested by supervisor. marriott international is committed to being an employer, welcoming all job seekers and providing them with equal employment opportunities. we work tirelessly to create a work environment that values and celebrates our employees' unique backgrounds. the combined culture, talents and experience of our people are our greatest strength. we are committed to not discriminating on the basis of any protected characteristic, including disability, veteran status, or other characteristics protected by applicable law. le m ridien is inspired by the fascinating era of travel and presents every culture with european culture's classic pursuit of enjoying a wonderful life. our guests are curious, creative and cosmopolitan culture lovers. they look forward to every opportunity to connect and enjoy slowing down to savor the local flavor. le m ridien is willing to provide guests with unforgettable special services and experiences to inspire them to enjoy a wonderful life. we welcome curious, creative and hospitality talents to join our team. if you enjoy interacting with like minded guests and are eager to create unexpected experiences for them, we sincerely invite you to join hands with le m ridien to build your future career. when you join le m ridien, you join international's extraordinary portfolio of brands. set sail from here, give full play to personal value, pursue life goals, blend in excellent international team, show my true self. ",0,not specified,"['erp system', 'fax', 'excel', 'database', 'it support', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment']","['organization', 'support', 'client interaction']",13,"['erp system', 'fax', 'excel', 'database', 'it support', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment', 'organization', 'support', 'client interaction']",https://www.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4319110637?skipRedirect=true&locale=en_US,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
customer service consultant,Customer Service,Full-time,Mid-Senior level,3 hours ago,Transportation Equipment Manufacturing,"assessing and processing orders with factories and customers evaluation of orders and get necessary approval like pricing, discount, shipping information, etc. before processing orders logging of all orders and tracking details of shipments in sales force co ordinating with factories on production lead times and ensure order readiness attend calls with all factories to understand production issues and discuss ways to improve delivery times ensuring an appropriate order flow with the compliance to organizational policies co ordinating with the finance department to resolve invoice and pricing issues monitoring and evaluation of all orders and sales processes as well as provide weekly reports to all customers management of the communication with the sales department and customers working with factory and customers for inspection processes to ensure smooth shipment check the accuracy of the shipping documents and work pro actively to avoid any issues during custom clearance file all documents on respective order folders and share the same with customers, sales, ar team when necessary work with factory / customer on letter of credits and provide necessary inputs co ordinating with forwarders and customers on shipments deliveries logging, monitoring and evaluation of all order issues assistance to sales teams in obtaining required proforma documents and related information as required position relationships internal head of departments key accounts managers regional sales managers finance team external factories suppliers customers freight agents measures of performance leading: customer retention, customer satisfaction lagging: revenue growth, on time response and delivery experience/knowledge required 5 year customer service experience experience in order management experience in logistics and supply chain experience in international trade knowledge of import/export carriers and customs matters. preferred customer service experience in a similar industry order management experience in a s similar industry further studies to include logistics and supply chain. further knowledge to include international trade experience on sales force an advantage significant attention to detail strong teamwork attitude fuel retail industry knowledge and experience extensive knowledge of internal mrp processes and infrastructure language proficiency english / french / arabic full professional proficiency who is gilbarco veeder root gilbarco veeder root, a vontier company, is the worldwide technology leader for retail and commercial fueling operations, offering the broadest range of integrated solutions from the forecourt to the convenience store and head office. for over 150 years, gilbarco has earned the trust of its customers by providing long term partnership, uncompromising support, and proven reliability. major product lines include fuel dispensers, tank gauges and fleet management systems. who is vontier vontier nyse: vnt is a global industrial technology company uniting productivity, automation and multi energy technologies to meet the needs of a rapidly evolving, more connected mobility ecosystem. leveraging leading market positions, decades of domain expertise and unparalleled portfolio breadth, vontier enables the way the world moves delivering smart, safe and sustainable solutions to our customers and the planet. vontier has a culture of continuous improvement and innovation built upon the foundation of the vontier business system and embraced by colleagues worldwide. about vontier is available on the company s website at www.vontier.com. at vontier, we empower you to steer your career in the direction of success with a dynamic, innovative, and inclusive environment. our commitment to personal growth, work life balance, and collaboration fuels a culture where your contributions drive meaningful change. we provide the roadmap for continuous learning, allowing creativity to flourish and ideas to accelerate into impactful solutions that contribute to a sustainable future. together, let s enable the way the world moves!","job title : customer service consultant reporting to : customer service manager purpose of position the customer service assistant is tasked with to drive all the back office activities necessary to receive, to process and confirm customers orders timely, for any customers within the mea region for any customer or distributor buying solution driven products offered for the retails and fuelling solutions industry. the role has the objective to maximize the efficiency in order intake, end to end order management and revenue for the given period and to match customers delivery time expectation and to improve or enhance our customer s experience. he/she is also responsible to manage all outbound customs and trade issues and maintain all relevant customers data.","job title : customer service consultant reporting to : customer service manager purpose of position the customer service assistant is tasked with to drive all the back office activities necessary to receive, to process and confirm customers orders timely, for any customers within the mea region for any customer or distributor buying solution driven products offered for the retails and fuelling solutions industry. the role has the objective to maximize the efficiency in order intake, end to end order management and revenue for the given period and to match customers delivery time expectation and to improve or enhance our customer s experience. he/she is also responsible to manage all outbound customs and trade issues and maintain all relevant customers data. assessing and processing orders with factories and customers evaluation of orders and get necessary approval like pricing, discount, shipping information, etc. before processing orders logging of all orders and tracking details of shipments in sales force co ordinating with factories on production lead times and ensure order readiness attend calls with all factories to understand production issues and discuss ways to improve delivery times ensuring an appropriate order flow with the compliance to organizational policies co ordinating with the finance department to resolve invoice and pricing issues monitoring and evaluation of all orders and sales processes as well as provide weekly reports to all customers management of the communication with the sales department and customers working with factory and customers for inspection processes to ensure smooth shipment check the accuracy of the shipping documents and work pro actively to avoid any issues during custom clearance file all documents on respective order folders and share the same with customers, sales, ar team when necessary work with factory / customer on letter of credits and provide necessary inputs co ordinating with forwarders and customers on shipments deliveries logging, monitoring and evaluation of all order issues assistance to sales teams in obtaining required proforma documents and related information as required position relationships internal head of departments key accounts managers regional sales managers finance team external factories suppliers customers freight agents measures of performance leading: customer retention, customer satisfaction lagging: revenue growth, on time response and delivery experience/knowledge required 5 year customer service experience experience in order management experience in logistics and supply chain experience in international trade knowledge of import/export carriers and customs matters. preferred customer service experience in a similar industry order management experience in a s similar industry further studies to include logistics and supply chain. further knowledge to include international trade experience on sales force an advantage significant attention to detail strong teamwork attitude fuel retail industry knowledge and experience extensive knowledge of internal mrp processes and infrastructure language proficiency english / french / arabic full professional proficiency who is gilbarco veeder root gilbarco veeder root, a vontier company, is the worldwide technology leader for retail and commercial fueling operations, offering the broadest range of integrated solutions from the forecourt to the convenience store and head office. for over 150 years, gilbarco has earned the trust of its customers by providing long term partnership, uncompromising support, and proven reliability. major product lines include fuel dispensers, tank gauges and fleet management systems. who is vontier vontier nyse: vnt is a global industrial technology company uniting productivity, automation and multi energy technologies to meet the needs of a rapidly evolving, more connected mobility ecosystem. leveraging leading market positions, decades of domain expertise and unparalleled portfolio breadth, vontier enables the way the world moves delivering smart, safe and sustainable solutions to our customers and the planet. vontier has a culture of continuous improvement and innovation built upon the foundation of the vontier business system and embraced by colleagues worldwide. about vontier is available on the company s website at www.vontier.com. at vontier, we empower you to steer your career in the direction of success with a dynamic, innovative, and inclusive environment. our commitment to personal growth, work life balance, and collaboration fuels a culture where your contributions drive meaningful change. we provide the roadmap for continuous learning, allowing creativity to flourish and ideas to accelerate into impactful solutions that contribute to a sustainable future. together, let s enable the way the world moves!",5,not specified,"['erp system', 'english', 'data management', 'account manager', 'it support', 'salesforce', 'pos system', 'reporting', 'm office']","['collaboration', 'customer service', 'accuracy', 'proactivity', 'attention to detail', 'time management', 'learning', 'teamwork', 'support', 'organization', 'communication']",20,"['erp system', 'english', 'data management', 'account manager', 'it support', 'salesforce', 'pos system', 'reporting', 'm office', 'collaboration', 'customer service', 'accuracy', 'proactivity', 'attention to detail', 'time management', 'learning', 'teamwork', 'support', 'organization', 'communication']",https://www.linkedin.com/jobs/view/customer-service-consultant-at-gilbarco-veeder-root-4277214364?skipRedirect=true&locale=en_US,Gilbarco Veeder-Root,https://www.linkedin.com/company/gilbarco-veeder-root?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
admin assistant,Administrative,Full-time,Entry level,2 weeks ago,Hospitality,,"25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position overview use the keyboard, mouse, or trackball to enter and retrieve information contained in computer databases to update records, files, and reservations, and to respond to guest inquiries. use a computer, email or fax machine to transmit information or files. operate standard office equipment other than computers. use word processing, spreadsheet, database, or presentation software to write letters, memos, and other documents. process incoming mail, including date stamped distribution receipts. create and maintain computer and paper based filing and organizational systems for records, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. use computers and/or point of sale systems to enter and find job related information. comply with all company policies and procedures; ensure uniforms and personal appearance are clean and professional; maintain the confidentiality of proprietary information and protect company assets. welcomes and acknowledges all guests in accordance with company standards; anticipates and meets guests' service needs; provides assistance to individuals with disabilities and acknowledges guests' sincere appreciation. use clear, professional language when speaking to others; write and review documents accurately and completely, and answer the phone using appropriate etiquette. establish and maintain positive working relationships with others; support the team in achieving common goals; listen and respond appropriately to other employees' concerns. move, lift, carry, push, pull and place objects weighing 10 pounds or less without assistance. perform other reasonable job duties as requested by supervisor. marriott international is committed to being an employer, welcoming and providing opportunities for all. we actively create an inclusive environment that respects and celebrates the unique backgrounds of each of our employees. our greatest strength is the blend of rich culture, talent and experience of our employees. we are committed to zero discrimination on all legally protected bases, including disability, veteran status, or other status protected by other applicable laws. le m ridien is inspired by the fascinating era of travel and presents every culture with european culture's classic pursuit of enjoying a wonderful life. our guests are curious, creative and cosmopolitan culture lovers. they look forward to every opportunity to connect and enjoy slowing down to savor the local flavor. le m ridien is willing to provide guests with unforgettable special services and experiences to inspire them to enjoy a wonderful life. we welcome curious, creative and hospitality talents to join our team. if you enjoy interacting with like minded guests and are eager to create unexpected experiences for them, we sincerely invite you to join hands with le m ridien to build your future career. when you join le m ridien, you join international's extraordinary portfolio of brands. from here set sail and develop your personal value, pursue life goals, join excellent international team, show my true self.","25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position overview use the keyboard, mouse, or trackball to enter and retrieve information contained in computer databases to update records, files, and reservations, and to respond to guest inquiries. use a computer, email or fax machine to transmit information or files. operate standard office equipment other than computers. use word processing, spreadsheet, database, or presentation software to write letters, memos, and other documents. process incoming mail, including date stamped distribution receipts. create and maintain computer and paper based filing and organizational systems for records, reports, documents, etc. compile, copy, classify and file records of office activities, business transactions and other activities. use computers and/or point of sale systems to enter and find job related information. comply with all company policies and procedures; ensure uniforms and personal appearance are clean and professional; maintain the confidentiality of proprietary information and protect company assets. welcomes and acknowledges all guests in accordance with company standards; anticipates and meets guests' service needs; provides assistance to individuals with disabilities and acknowledges guests' sincere appreciation. use clear, professional language when speaking to others; write and review documents accurately and completely, and answer the phone using appropriate etiquette. establish and maintain positive working relationships with others; support the team in achieving common goals; listen and respond appropriately to other employees' concerns. move, lift, carry, push, pull and place objects weighing 10 pounds or less without assistance. perform other reasonable job duties as requested by supervisor. marriott international is committed to being an employer, welcoming and providing opportunities for all. we actively create an inclusive environment that respects and celebrates the unique backgrounds of each of our employees. our greatest strength is the blend of rich culture, talent and experience of our employees. we are committed to zero discrimination on all legally protected bases, including disability, veteran status, or other status protected by other applicable laws. le m ridien is inspired by the fascinating era of travel and presents every culture with european culture's classic pursuit of enjoying a wonderful life. our guests are curious, creative and cosmopolitan culture lovers. they look forward to every opportunity to connect and enjoy slowing down to savor the local flavor. le m ridien is willing to provide guests with unforgettable special services and experiences to inspire them to enjoy a wonderful life. we welcome curious, creative and hospitality talents to join our team. if you enjoy interacting with like minded guests and are eager to create unexpected experiences for them, we sincerely invite you to join hands with le m ridien to build your future career. when you join le m ridien, you join international's extraordinary portfolio of brands. from here set sail and develop your personal value, pursue life goals, join excellent international team, show my true self. ",0,not specified,"['erp system', 'fax', 'excel', 'database', 'it support', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment']","['organization', 'support', 'client interaction']",13,"['erp system', 'fax', 'excel', 'database', 'it support', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment', 'organization', 'support', 'client interaction']",https://www.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4319140611?skipRedirect=true&locale=en_US,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
